ID,Hashtag,Text,TimeStamp
1519589168929992704,ipl,"RT @LeadDigitalIn: #ContestAlert 

Quiz - 26

Who will hit the maximum today?

Know more - https://t.co/2A3M2EJam8

#IPL2022 #IPL #TATAIPL…",2022-04-28 08:07:45+00:00
1519589179499327489,ipl,"@aaliaaaliya @aisamhqureshi #Cricket 🏏
Most valuable #IPL teams in 2022, as per #Forbes :-

MI : $1.3 billion
CSK : $1.15 billion
KKR : $1.1 billion
LSG : $1.075 billion
DC : $1.035 billion
RCB : $1.025 billion
RR : $1 billion
SRH : $970 million
PKS : $925 million
GT : $850 million

#IPL2022
#TeamIndia 🇮🇳 https://t.co/0Jw8MJEuoz",2022-04-28 08:07:47+00:00
1519589183538745345,ipl,"RT @rgcricket: Gujarat Titans in #IPL2022 (batting second): 

v LSG   - needed 11 in last over, made it
v PBKS- needed 19 in last over, mad…",2022-04-28 08:07:48+00:00
1519589185451356160,india,"Sainath Investments
Inviting to all MBA &amp; BBA students across
#India for #SummerInternship program in the stream of #Finance &amp; #marketing

Duration - Minimum 2 months

Location - Dehradun, haridwar

#Internship #Dehradun #Haridwar 

https://t.co/apgVHiGBvH",2022-04-28 08:07:49+00:00
1519589190148763648,covid,"RT @ivanrioufol: Le Système ne tient plus que par la Peur qu'il fabrique (autour du #Covid hier, du #populisme aujourd'hui). La caste au po…",2022-04-28 08:07:50+00:00
1519589190240854019,ipl,"मुरलीधरन सनराइजर्स की हार से बौखलाए:मार्को येन्सन ने आखिरी ओवर में खराब बॉलिंग की, राशिद ने जड़ दिए छक्के 
#IPL #IPLWithBhaskar #GTvsSRH
https://t.co/dnNvQSKeum https://t.co/yrfsseKqyc",2022-04-28 08:07:50+00:00
1519589198197825537,india,"RT @moueller1961: #INDIA #STARTUP #QUOTEOFTHEWEEK:""We should not forget the rural markets, tier 2 and 3 cities. Rural market will grow very…",2022-04-28 08:07:52+00:00
1519589235543576576,india,"RT @stpiguwahati: #SemiconIndia2022 is being organized from April-29 to May-1, 2022 by @GoI_MeitY to make #India a #Semiconductor Nation. T…",2022-04-28 08:08:01+00:00
1519589235543576576,india,"RT @stpiguwahati: #SemiconIndia2022 is being organized from April-29 to May-1, 2022 by @GoI_MeitY to make #India a #Semiconductor Nation. T…",2022-04-28 08:08:01+00:00
1519589236789309442,india,"RT @Saudi_Gazette: As calls continue for #India to keep its distance from #Moscow after the invasion of #Ukraine, its oil purchases from #R…",2022-04-28 08:08:01+00:00
1519589239000006656,elon musk,"RT @mohit_munjal: Elon Musk after buying Twitter.
#ElonMusk #ElonMuskBuyTwitter #Elon #MannerlessCM #LICIPO #stockstowatch #Sensex #ElonMus…",2022-04-28 08:08:01+00:00
1519589239000006656,elon musk,"RT @mohit_munjal: Elon Musk after buying Twitter.
#ElonMusk #ElonMuskBuyTwitter #Elon #MannerlessCM #LICIPO #stockstowatch #Sensex #ElonMus…",2022-04-28 08:08:01+00:00
1519589239000006656,elon musk,"RT @mohit_munjal: Elon Musk after buying Twitter.
#ElonMusk #ElonMuskBuyTwitter #Elon #MannerlessCM #LICIPO #stockstowatch #Sensex #ElonMus…",2022-04-28 08:08:01+00:00
1519589239482363910,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:08:01+00:00
1519589239482363910,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:08:01+00:00
1519589239482363910,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:08:01+00:00
1519589240648388608,india,"Cosmetic gynaecology is popular in #West but is yet to catch up in #India 
#gynecologist #COSMETICS 
@CochraneCGF @RCPI_ObsGyn @ESGO_society @mehashar @Snehlatas61 @nknayak17 @vijayjdarda @wordsmith01 @DrWarsha https://t.co/rAGHxG9Pc6",2022-04-28 08:08:02+00:00
1519589243227717632,covid,#上海封城 #上海疫情防控 #新冠疫苗 #Covid_19 #COVID #COVID19 #China,2022-04-28 08:08:02+00:00
1519589243227717632,covid,#上海封城 #上海疫情防控 #新冠疫苗 #Covid_19 #COVID #COVID19 #China,2022-04-28 08:08:02+00:00
1519589243227717632,covid,#上海封城 #上海疫情防控 #新冠疫苗 #Covid_19 #COVID #COVID19 #China,2022-04-28 08:08:02+00:00
1519589256733544448,india,"RT @DrAmbardar: .@DNC Note to the anti-India propagandists: 
If you're coordinating a social media smear campaign against #India, don't ask…",2022-04-28 08:08:06+00:00
1519589259291893760,covid,"RT @Un_EtreHumain: 📣""Il risque 150.000€ d'amende &amp; 10 ans de prison pour 4 mails dénonçant la condition des #enfants sous protocole #Covid""…",2022-04-28 08:08:06+00:00
1519589261322121216,india,"RT @Saudi_Gazette: As calls continue for #India to keep its distance from #Moscow after the invasion of #Ukraine, its oil purchases from #R…",2022-04-28 08:08:07+00:00
